gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
211401_s_at,-0.1945624287590116,0.8231947856234594 (0.696392246068666 - 0.9730861578416187),-2.2796261487171323,0.022629870738290266,FGFR2,0.8231947856234594,0.696392246068666,0.9730861578416187
221135_s_at,-0.5596444671999051,0.5714121835124364 (0.353158104982574 - 0.9245487470337441),-2.2794980790617707,0.022637474029694994,ASTE1,0.5714121835124364,0.353158104982574,0.9245487470337441
221916_at,-0.28330614476191346,0.7532891370317387 (0.5903270695019875 - 0.9612375127041521),-2.2778208272549585,0.022737254910584547,NEFL,0.7532891370317387,0.5903270695019875,0.9612375127041521
216116_at,-0.49154154722922033,0.6116827292028573 (0.4007180371031888 - 0.9337133010279426),-2.277788730301399,0.022739168101459498,CELSR3-AS1,0.6116827292028573,0.4007180371031888,0.9337133010279426
214217_at,-0.2145278273385128,0.8069223569178937 (0.6709034898342837 - 0.9705176675333129),-2.277691798491482,0.022744946728011705,GRM5,0.8069223569178937,0.6709034898342837,0.9705176675333129
212914_at,-0.292538120402148,0.7463667926912905 (0.5800323572337974 - 0.9604005402197666),-2.2740520679666254,0.022962856121992573,CBX7,0.7463667926912905,0.5800323572337974,0.9604005402197666
221864_at,-0.594040508452701,0.552092039459684 (0.33081013261100395 - 0.9213914266440287),-2.2732639534723855,0.023010278382858226,ORAI3,0.552092039459684,0.33081013261100395,0.9213914266440287
209560_s_at,-0.15414905883263433,0.8571442465679466 (0.7504500708015684 - 0.9790075156363054),-2.2727718331782234,0.023039933263033153,DLK1,0.8571442465679466,0.7504500708015684,0.9790075156363054
214796_at,-0.2494317827153255,0.7792434368875288 (0.6283498593501313 - 0.9663729925241069),-2.271456229166933,0.023119373819576756,KIAA1456 /// LOC101927137,0.7792434368875288,0.6283498593501313,0.9663729925241069
210547_x_at,-0.3504140254224619,0.7043963913241061 (0.5205075649999829 - 0.9532508448949049),-2.270133081255864,0.023199509702081168,ICA1,0.7043963913241061,0.5205075649999829,0.9532508448949049
219067_s_at,-0.5563157139360206,0.5733174429934005 (0.3546325920283126 - 0.9268547162023094),-2.269891279089447,0.023214180381522394,NSMCE4A,0.5733174429934005,0.3546325920283126,0.9268547162023094
215133_s_at,-0.209793235350877,0.8107518634654789 (0.6763959023103545 - 0.9717956331011971),-2.269451799883322,0.023240865195417442,FAM153A /// FAM153B /// LOC100507387 /// LOC102725213,0.8107518634654789,0.6763959023103545,0.9717956331011971
219334_s_at,-0.19246408366711157,0.82492394591459 (0.698553288386629 - 0.9741554837068643),-2.2686028705764643,0.023292486897362404,NABP1,0.82492394591459,0.698553288386629,0.9741554837068643
212207_at,-0.3752830732870588,0.6870947530894784 (0.49667320601583964 - 0.9505227864215317),-2.266412363606723,0.023426147312453356,MED13L,0.6870947530894784,0.49667320601583964,0.9505227864215317
219870_at,-0.33428440913657387,0.715850158946798 (0.5361126936904673 - 0.9558465152851272),-2.2660857601544415,0.023446132932381444,ATF7IP2,0.715850158946798,0.5361126936904673,0.9558465152851272
201132_at,-0.5060981123435275,0.6028432222409394 (0.38906059486127037 - 0.9340960133251879),-2.2650927041630537,0.023506991254909113,HNRNPH2 /// RPL36A-HNRNPH2,0.6028432222409394,0.38906059486127037,0.9340960133251879
204143_s_at,-0.38047873514509134,0.6835340990750786 (0.49171176121901594 - 0.9501885076738544),-2.263998727645891,0.02357419303395903,ENOSF1,0.6835340990750786,0.49171176121901594,0.9501885076738544
216570_x_at,-0.5592688044026403,0.5716268821363039 (0.3521837140438299 - 0.9278035279626993),-2.263206382609104,0.0236229699632624,RP4-595K12.1,0.5716268821363039,0.3521837140438299,0.9278035279626993
219924_s_at,-0.31035819738859494,0.7331842844868706 (0.5603298413552958 - 0.9593620673821421),-2.262385413436647,0.02367360135049288,ZMYM6,0.7331842844868706,0.5603298413552958,0.9593620673821421
220152_at,-0.3863878547524358,0.6795069245741455 (0.48605228381762466 - 0.9499588334769816),-2.2602701320284027,0.023804490516303973,C10orf95,0.6795069245741455,0.48605228381762466,0.9499588334769816
