gene,beta,HR (95% CI for HR),wald.test,p.value
212289_at,-0.1037370006659822,0.9014623502452276 (0.733508383653557 - 1.1078733209046243),-0.9861360153561491,0.3240663723968228
212290_at,-0.04478496093991293,0.9562030807381443 (0.6940238066850253 - 1.3174250260669713),-0.2739056354274263,0.7841571407076392
212291_at,0.02981573288962962,1.0302646725673188 (0.7434282421518805 - 1.427771014547217),0.1790928101662162,0.8578648273946634
212292_at,-0.15971784052629937,0.8523842633336883 (0.6704748452113031 - 1.0836483092067926),-1.304059909442924,0.19221315663578525
212293_at,-0.3827264215458431,0.6819994541225298 (0.35885277711591756 - 1.2961394897417315),-1.1682145423307668,0.24272023599388987
212294_at,-0.2838433023896396,0.7528846106828326 (0.552476042843705 - 1.0259906186799084),-1.7974773015392138,0.07225987844893968
212295_s_at,0.03721324723229121,1.0379143295987203 (0.6784591171144025 - 1.5878129255129625),0.17155733644375942,0.8637855506512339
212296_at,0.5765352845418995,1.7798610234491707 (1.0003694676886834 - 3.1667352564376614),1.9612205837958598,0.04985329670732734
212297_at,0.02727986249559171,1.0276553647176876 (0.694492638683474 - 1.5206432578392908),0.13644777255838414,0.8914673097530027
212298_at,0.1862046804014587,1.2046688072402043 (0.8882981125870453 - 1.6337161078852673),1.1979366492488608,0.2309416806549296
212299_at,-0.44071430508267695,0.643576546858934 (0.41209818571331147 - 1.0050778819856632),-1.9376944860365033,0.052660507060390764
212300_at,-0.43305656141941806,0.648523809340397 (0.3800599242263389 - 1.1066232045842006),-1.5883668806374938,0.11220340207262572
212301_at,-0.8991348933350906,0.40692153804717907 (0.20029000449995038 - 0.8267269180011567),-2.4860858394892653,0.012915680769006295
212302_at,0.5337512506824651,1.7053173981489302 (0.8333581922036934 - 3.4896248163582264),1.4609922326439835,0.14401757305248705
212303_x_at,-0.03863117157266892,0.9621054955715435 (0.7704088631048318 - 1.2015009548027613),-0.34075054218855344,0.7332913860407255
212305_s_at,0.10929638939819954,1.1154929216258525 (0.6591792821369793 - 1.887687450011219),0.4072131833329686,0.6838514197482954
212306_at,0.026869909213734628,1.0272341603712545 (0.5997932124798625 - 1.7592896989794864),0.09788125605253745,0.9220265840096353
212307_s_at,-0.2406968123895922,0.7860799199552123 (0.5449186703895276 - 1.1339703961970695),-1.2874696310548275,0.19793064807021316
212308_at,0.055987661222270176,1.057584634354371 (0.7659458785437997 - 1.4602666978885104),0.34012123490172413,0.733765230918185
212309_at,-0.10823200260636495,0.8974193686441465 (0.5832778992404455 - 1.3807509666771434),-0.49234335340022833,0.6224766371608561
212310_at,-0.042445876734295646,0.9584423381465061 (0.7020689707170216 - 1.308435145073518),-0.267260954497094,0.7892682474129195
212311_at,-0.06620871025331274,0.9359355045692964 (0.707948395413226 - 1.2373433916776957),-0.4648214118565036,0.6420593529153718
212312_at,0.29216495842000273,1.33932393217766 (0.8468957253767012 - 2.118074919442943),1.2493552203244978,0.21153517909725117
212313_at,-0.8589176407980518,0.4236203436484073 (0.2074096114101521 - 0.8652163915293413),-2.357300983704655,0.01840831965141879
212314_at,-0.07212939988365727,0.9304104930117704 (0.7402616957981862 - 1.1694022403428626),-0.6183611221396069,0.5363373194313477
212315_s_at,0.07549051445488941,1.0784129983343924 (0.8497917105827367 - 1.3685407618051197),0.6210110485447293,0.5345923537076149
212316_at,0.3678583938405132,1.4446374549271974 (0.9482826454457329 - 2.2007967626546225),1.7127218213551887,0.08676372865671624
212317_at,-0.04050947084540351,0.9603000696148446 (0.49688854687557193 - 1.8559015487495263),-0.12050312164033508,0.9040846069549199
212318_at,0.16561745001740782,1.1801215598779322 (0.7095418219643218 - 1.9627974743379581),0.6380386026282101,0.5234485517891008
212319_at,0.02401438045283115,1.024305047755134 (0.6375043112926224 - 1.645794094677191),0.09925446069911938,0.9209362349048813
212320_at,0.4649399705357551,1.5919186239966552 (0.8292375049080444 - 3.0560664350419446),1.3972423646875651,0.16234070101872755
212321_at,-0.286812213099376,0.7506526783423294 (0.4084144688397667 - 1.3796755171364476),-0.9235716131949644,0.3557093990605933
212322_at,-0.1261884046434037,0.8814487620986426 (0.533348592828738 - 1.4567431706990819),-0.4922946699082167,0.622511047588314
212323_s_at,0.040307119018445706,1.041130476066496 (0.5683273385272306 - 1.9072682144825457),0.13050064311193055,0.8961703453645188
212324_s_at,-0.01138974393114599,0.9886748736437125 (0.6940946333027381 - 1.4082777172951741),-0.06310397737462987,0.9496837071268176
212325_at,-0.09453980144907627,0.9097915228844268 (0.6970079348214979 - 1.1875339917390493),-0.695501547209489,0.486741041907373
212326_at,-0.01024155624451941,0.9898107099115314 (0.7207861892236703 - 1.359245302009452),-0.06328784846265702,0.949537291887799
212327_at,-0.13566458454185082,0.873135446504616 (0.7109187589646079 - 1.0723665655596644),-1.293701265748464,0.1957686279757833
212328_at,-0.14415607189714638,0.8657526178609372 (0.6996979864204121 - 1.071215881537086),-1.3267910822103157,0.18457780124563808
212329_at,0.06940984438307586,1.0718754212586499 (0.5952022201029608 - 1.9302967628374494),0.23125810182710593,0.8171142943573576
212330_at,-0.11495295790247474,0.8914080766261976 (0.5672463088510595 - 1.400817152400467),-0.498449819981127,0.6181670294103568
212331_at,0.17844800520629764,1.1953607291231358 (0.69252080628742 - 2.0633131304603105),0.6407292323590722,0.5216986181985479
212332_at,0.0644789838767637,1.0666031621456 (0.7400230960120588 - 1.537306486283578),0.3457132956723991,0.7295581912043838
212333_at,0.18875428463396726,1.2077441547234582 (0.7437895526484812 - 1.961100338227047),0.7631779471608784,0.44535727879085174
212334_at,0.2823705459890248,1.32627007300264 (0.803073364233003 - 2.19032579697423),1.1031661087721076,0.269955036211629
212335_at,0.29275363715568004,1.340112595808696 (0.8743325045292305 - 2.054026082916926),1.3436109123635511,0.17907423891443075
212336_at,-0.016893107662661448,0.983248780778186 (0.6848924522399009 - 1.4115766084733414),-0.09156485235570501,0.9270437778541214
212337_at,0.39004132279989134,1.4770418281254758 (0.8979177105187228 - 2.4296798431249527),1.535943401294004,0.12455226230724321
212338_at,0.04463779436111217,1.045649051326868 (0.7319325397858373 - 1.4938288422874342),0.24526860398865938,0.8062484597936002
212339_at,-0.12367137973466173,0.8836701851043409 (0.6442954840836819 - 1.2119796201162252),-0.7672401235954603,0.4429387611047467
212340_at,0.5684590628133463,1.765544361264261 (1.0567110410473886 - 2.949857407094356),2.1705905526360416,0.02996213686456552
212341_at,0.19819346267104782,1.2191982403552728 (0.6575472933848546 - 2.2605892598745676),0.6291413737326115,0.5292565060640744
212342_at,0.017682870017724665,1.0178401375767772 (0.5275027679305017 - 1.9639679801619643),0.052728784602426367,0.957948004125456
212343_at,-0.18307445065539407,0.8327061579100231 (0.592238865692489 - 1.1708106063091603),-1.0529638838361617,0.29235754501792455
212344_at,0.08146125671955717,1.0848711853011943 (0.8729203285641307 - 1.348285118566066),0.7345055887686888,0.4626406552495369
212345_s_at,0.13737636734712666,1.1472598584239264 (0.789833402020231 - 1.6664339332627693),0.7212585145099178,0.47075047616740384
212346_s_at,-0.14778867801345266,0.8626133848566572 (0.6489313067304874 - 1.146657348807642),-1.0176389694060235,0.30884956069487746
212347_x_at,-0.031784833721078404,0.9687149944574285 (0.6449932995129684 - 1.4549123862143127),-0.15316561399702072,0.8782676737208488
212348_s_at,0.043716505774825484,1.0446861504135365 (0.5602021346826636 - 1.948170285863119),0.13749412128306326,0.8906402391529057
212349_at,-0.48105508195414975,0.6181308689090176 (0.41611574187513783 - 0.9182199389439778),-2.3825197828598244,0.017194608083104433
212350_at,0.21520215910682833,1.2401125716769772 (0.7868125379599882 - 1.9545687393576996),0.927074041167301,0.35388809303359703
212351_at,-0.1841156130058006,0.8318396267875237 (0.44788798176396505 - 1.5449335388924659),-0.5828816141882244,0.5599729984664853
212352_s_at,-0.25786958825532874,0.7726959941692072 (0.39630102668670536 - 1.5065797441830573),-0.7569362368419585,0.4490880643034113
212353_at,0.20989963967107655,1.233554253833576 (0.9717631100201963 - 1.5658714366295357),1.724619792862932,0.08459601407556043
212354_at,0.12279306532608032,1.130650425960273 (0.907576950925014 - 1.408553163917633),1.095099419558959,0.2734730829595319
212355_at,-0.08010145381778254,0.9230226974596383 (0.5049137062362464 - 1.687359423012047),-0.26024322491548463,0.7946761639207155
212356_at,-0.47303915367069416,0.6231056738256774 (0.3801613365493118 - 1.021305018227147),-1.8763437371290919,0.06060809492472916
212357_at,-0.23835843676142587,0.7879202209007025 (0.48907585549017396 - 1.2693701141349527),-0.979648328602103,0.32725974024550497
212358_at,0.1318343844893845,1.1409193496788514 (0.9101726412661302 - 1.430164897794377),1.143547284493746,0.2528114343546448
212359_s_at,0.01436400930937906,1.0144676674117568 (0.6893609549725138 - 1.4928966324541615),0.07286820143083925,0.9419109982339174
212360_at,0.09873437426116717,1.1037730700787138 (0.6638765623626115 - 1.8351528873006693),0.38064186032832126,0.7034690153836243
212361_s_at,0.0921596429009783,1.096539862913186 (0.6445957744742155 - 1.8653545657174737),0.3399820593122293,0.7338700386404586
212362_at,0.08011071795668545,1.0834070136455591 (0.7468152053244081 - 1.571701739396851),0.4220262629609961,0.6730058479441274
212363_x_at,0.032375631198413794,1.0329054239456301 (0.4037414814816239 - 2.6425167186217426),0.06755166523569853,0.9461425330089301
212364_at,0.15255336640161665,1.1648046218672334 (0.829242099051902 - 1.6361564477665873),0.8799358083214655,0.37889408496160804
