gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol
218453_s_at,-0.5107704441850576,0.6000331086620125 (0.4418894416400563 - 0.8147733291710353),-3.272342225171454,0.001066603845471028,TMEM242
204408_at,0.7788688381001615,2.179006062286435 (1.366409349321436 - 3.4748499209544654),3.271078365104544,0.0010713821750625294,APEX2
206866_at,0.30803316703555017,1.3607461201036528 (1.1299136438724435 - 1.6387358568671078),3.247767778844968,0.0011631415834998467,CDH4
214910_s_at,-0.4113770247129478,0.662737016258243 (0.5162859760780392 - 0.8507307443355547),-3.2287861056135934,0.0012431683776831127,APOM
214580_x_at,0.2322125822706609,1.261387849021649 (1.0945023252423163 - 1.4537194384737395),3.2070978408221067,0.001340813852782148,KRT6A /// KRT6B /// KRT6C
208305_at,-0.1714079117532607,0.842477846755749 (0.7584763758365061 - 0.9357825040910674),-3.198467628532458,0.0013816004340745402,PGR
209650_s_at,-0.44672838567325585,0.639717641155972 (0.48651504327643913 - 0.8411634255955174),-3.1983288972255814,0.0013822653278076705,TBC1D22A
205695_at,0.6737964371970816,1.9616705608789047 (1.2976147760365055 - 2.9655576219414885),3.19554063350169,0.0013956912864764052,SDS
206043_s_at,0.32476354677443303,1.3837034261578416 (1.1325099360537454 - 1.690612250372421),3.177426088101281,0.0014858855833890677,ATP2C2
210010_s_at,0.6182938136204164,1.8557590683391945 (1.2655667404821833 - 2.7211853864072353),3.1659264136566976,0.0015458989581496846,SLC25A1
209828_s_at,-0.356564133110625,0.7000775718774978 (0.5608052190997831 - 0.8739373136231261),-3.1505758000062865,0.0016294896742817268,IL16
211462_s_at,0.3491685827975714,1.4178882017545091 (1.140575561253977 - 1.7626249596864452),3.1445128586671856,0.001663635999319202,TBL1Y
200937_s_at,-0.751390413541743,0.471710224279145 (0.2952471386710622 - 0.7536416328741545),-3.1430830078186007,0.0016717842404981528,RPL5 /// SNORD21
216362_at,-0.47465972675125834,0.6220967033203667 (0.4625152444653574 - 0.8367384922186174),-3.1385480543365145,0.0016978709311726797,
201051_at,-1.0341926722690593,0.3555132808285751 (0.186230622011092 - 0.6786729887954166),-3.134941429611709,0.0017188842671900747,ANP32A
218835_at,0.3202116529717119,1.3774192683674649 (1.1275028674742928 - 1.682730834308251),3.134782735691066,0.001719814338366072,SFTPA1 /// SFTPA2
219169_s_at,-0.9561881375563009,0.3843552062984189 (0.2112970475333009 - 0.6991528103837691),-3.1323540914692973,0.0017341059642142394,TFB1M
213725_x_at,0.6049062842176964,1.8310805996937929 (1.253481391882143 - 2.674835210389967),3.1283705414899865,0.0017577842639185945,XYLT1
203722_at,0.3536756939340318,1.4242932046461978 (1.140513384947453 - 1.7786824421133829),3.1197136472080915,0.0018102692844345204,ALDH4A1
222243_s_at,-1.0025835984440603,0.3669302151570623 (0.19532505385331653 - 0.6893011425780388),-3.116585690717387,0.001829584993698445,TOB2
201642_at,-1.1445499810348807,0.31836715681630107 (0.15490085807600515 - 0.6543388319357283),-3.1138456832237758,0.0018466604634542782,IFNGR2
208615_s_at,-0.49843312665271305,0.6074817613709822 (0.44381577119855314 - 0.8315028765241727),-3.1120476179869976,0.0018579452770316593,PTP4A2
207164_s_at,-0.23278036704043148,0.7923275756657031 (0.6842792124892706 - 0.9174368820536604),-3.1119612940399737,0.0018584886441082196,ZBTB18
204475_at,0.16937517464275556,1.1845644741205072 (1.064646949784683 - 1.3179890231519276),3.110308535364447,0.0018689201485646747,MMP1
208904_s_at,-1.1453543431018416,0.3181111773158934 (0.15453605682029914 - 0.6548291914227962),-3.109329214032595,0.0018751265552221824,RPS28
