gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
201791_s_at,0.35671152761295993,1.428623691919169 (1.1056690392767727 - 1.8459101056567244),2.7282418756388958,0.006367290095564528,DHCR7,1.428623691919169,1.1056690392767727,1.8459101056567244
216340_s_at,0.33521261828665233,1.3982376445122757 (1.098719601607364 - 1.7794062358322211),2.725401426166351,0.0064223350517481365,CYP2A7P1,1.3982376445122757,1.098719601607364,1.7794062358322211
200861_at,0.9671850378138834,2.6305291872039045 (1.312014459220796 - 5.274091116984509),2.7251146104915454,0.006427916971716256,CNOT1,2.6305291872039045,1.312014459220796,5.274091116984509
209380_s_at,0.5639683806702216,1.7576336382935434 (1.1706365898131021 - 2.638970995220828),2.719737830023774,0.006533369317925339,ABCC5,1.7576336382935434,1.1706365898131021,2.638970995220828
218660_at,0.6592460896617894,1.933334224170088 (1.199042046455264 - 3.11730621407096),2.7047016723098696,0.006836575676989248,DYSF,1.933334224170088,1.199042046455264,3.11730621407096
211432_s_at,0.48372144784395166,1.6220997433351696 (1.141931853146081 - 2.3041721535999815),2.701072891383882,0.006911618904600095,TYRO3,1.6220997433351696,1.141931853146081,2.3041721535999815
201128_s_at,0.7329932903466855,2.0813012318481916 (1.221946130020586 - 3.545012919366439),2.6976705636437837,0.006982650367881553,ACLY,2.0813012318481916,1.221946130020586,3.545012919366439
201095_at,0.6350685218113586,1.8871514480640552 (1.1883263288533608 - 2.996938215924802),2.691136158984753,0.007120912524536773,DAP,1.8871514480640552,1.1883263288533608,2.996938215924802
202275_at,0.43650865110886816,1.5472956282576047 (1.1254132610149135 - 2.12732855046158),2.687352986258059,0.007202079824835781,G6PD,1.5472956282576047,1.1254132610149135,2.12732855046158
208119_s_at,0.4155763417601426,1.515243787352705 (1.118603922955406 - 2.0525260889886043),2.6837834130698344,0.007279424751111303,ZNF93,1.515243787352705,1.118603922955406,2.0525260889886043
220088_at,0.5172074290695906,1.6773370206856097 (1.1492556729230936 - 2.4480709969493013),2.6811078277978067,0.007337886733585799,C5AR1,1.6773370206856097,1.1492556729230936,2.4480709969493013
